;tipo de incendio;año;mes;anho;Región de Arica;Región de Tarapacá;Región de Antofagasta;Región de Atacama;Región de Coquimbo;Región de Valparaíso;Región Metropolitana;Región del Libertador Bernardo O'higgins;Región del Maule;Región del Ñuble;Región del Bío Bío;Región de la Araucanía;Región de los Ríos;Región de los Lagos;Región de Aysén del General Carlos Ibáñez del Campo;Región de Magallanes y de la Antártica Chilena;Chile
2570;Inundación 10-17;2024;septiembre;117;0;1;0;0;0;1;0;2;0;1;2;0;0;2;0;0;9
2571;Emergencia Marítima Portuaria 10-18;2024;septiembre;117;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;3
2572;Incendio 10-30;2024;septiembre;117;1;0;2;0;0;5;35;0;3;0;1;1;4;22;0;0;74
2573;Emergencia Metro de Santiago 10-19;2024;septiembre;117;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
2574;Estructural 10-0;2024;octubre;118;4;31;35;18;19;135;333;91;79;62;166;114;46;156;18;20;1327
2575;Vehículos 10-1;2024;octubre;118;5;6;10;5;9;38;214;14;19;17;28;15;8;17;3;10;418
2576;Pastizales y/o Basura 10-2;2024;octubre;118;10;21;46;23;75;245;555;194;132;55;124;127;40;129;3;4;1783
2577;Rescate de Emergencia 10-3;2024;octubre;118;10;31;26;13;20;203;1165;115;62;46;203;105;48;76;2;4;2129
2578;Rescate Vehicular 10-4;2024;octubre;118;18;34;67;13;61;362;608;169;131;64;196;118;62;136;18;10;2067
2579;Haz-Mat 10-5;2024;octubre;118;0;3;4;0;3;43;58;18;12;5;31;27;10;33;0;2;249
2580;Gas 10-6;2024;octubre;118;7;22;34;10;30;95;289;38;39;17;113;36;27;56;5;8;826
2581;Eléctrico 10-7;2024;octubre;118;2;10;11;4;7;45;203;35;7;13;27;11;6;14;0;1;396
2582;No Clasificado 10-8;2024;octubre;118;6;4;9;8;14;102;85;80;77;17;72;29;16;39;4;10;572
2583;Otros Servicios 10-9;2024;octubre;118;3;22;63;42;66;307;281;422;107;260;154;560;136;299;16;31;2769
2584;Escombros 10-10;2024;octubre;118;1;3;0;1;1;28;29;9;1;1;1;1;1;1;0;0;78
2585;Servicio Aéreo 10-11;2024;octubre;118;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
2586;Apoyo a otros Cuerpos 10-12;2024;octubre;118;0;0;8;5;3;33;322;7;8;2;30;9;10;4;0;0;441
2587;Atentados Terroristas 10-13;2024;octubre;118;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;3
2588;Accidentes Aéreos 10-14;2024;octubre;118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2589;Simulacro 10-15;2024;octubre;118;0;2;6;1;5;16;28;16;19;11;23;25;12;17;6;3;190
2590;Túnel 10-16;2024;octubre;118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2591;Falsa Alarma 6-16;2024;octubre;118;1;2;2;1;2;8;31;5;4;6;4;5;11;13;2;2;99
2592;Inundación 10-17;2024;octubre;118;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;2
