;tipo de incendio;año;mes;anho;Región de Arica;Región de Tarapacá;Región de Antofagasta;Región de Atacama;Región de Coquimbo;Región de Valparaíso;Región Metropolitana;Región del Libertador Bernardo O'higgins;Región del Maule;Región del Ñuble;Región del Bío Bío;Región de la Araucanía;Región de los Ríos;Región de los Lagos;Región de Aysén del General Carlos Ibáñez del Campo;Región de Magallanes y de la Antártica Chilena;Chile
769;Emergencia Metro de Santiago 10-19;2017;Noviembre;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
770;Estructural 10-0;2017;diciembre;36;5;32;31;17;48;98;263;70;72;35;104;100;38;122;15;21;1071
771;Vehículos 10-1;2017;diciembre;36;6;4;16;9;17;45;73;18;19;7;33;23;4;17;2;4;297
772;Pastizales y/o Basura 10-2;2017;diciembre;36;17;28;46;46;97;707;1220;622;472;134;380;260;30;115;11;8;4193
773;Rescate de Emergencia 10-3;2017;diciembre;36;8;9;19;13;28;90;433;77;48;26;136;47;18;73;8;5;1038
774;Rescate Vehicular 10-4;2017;diciembre;36;23;21;53;61;78;220;607;117;124;59;238;103;28;117;24;9;1882
775;Haz-Mat 10-5;2017;diciembre;36;2;1;6;4;0;20;18;2;0;1;31;12;4;31;0;0;132
776;Gas 10-6;2017;diciembre;36;3;8;19;9;29;53;145;18;16;7;44;36;3;70;3;8;471
777;Eléctrico 10-7;2017;diciembre;36;0;1;3;1;4;11;89;12;3;5;18;5;4;13;3;1;173
778;No Clasificado 10-8;2017;diciembre;36;9;2;25;7;28;65;50;75;56;22;154;58;18;29;4;0;602
779;Otros Servicios 10-9;2017;diciembre;36;3;42;31;57;78;255;263;303;148;150;126;315;76;608;29;20;2504
780;Escombros 10-10;2017;diciembre;36;1;0;5;0;1;9;49;13;4;0;2;5;3;16;0;0;108
781;Servicio Aéreo 10-11;2017;diciembre;36;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2
782;Apoyo a otros Cuerpos 10-12;2017;diciembre;36;0;0;0;2;10;67;226;72;11;7;19;17;1;28;3;0;463
783;Atentados Terroristas 10-13;2017;diciembre;36;0;0;1;0;0;0;3;1;0;0;1;0;0;0;0;0;6
784;Accidentes Aéreos 10-14;2017;diciembre;36;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2
785;Simulacro 10-15;2017;diciembre;36;3;0;7;0;6;9;17;7;3;6;8;19;6;8;4;2;105
786;Túnel 10-16;2017;diciembre;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
787;Falsa Alarma 6-16;2017;diciembre;36;1;0;1;0;12;12;36;8;7;2;2;7;5;7;1;5;106
788;Inundación 10-17;2017;diciembre;36;0;0;0;0;0;0;0;5;0;0;2;0;0;0;0;0;7
789;Emergencia Marítima Portuaria 10-18;2017;diciembre;36;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
790;Incendio 10-30;2017;diciembre;36;0;2;6;0;1;4;39;0;0;0;0;2;0;16;0;0;70
791;Emergencia Metro de Santiago 10-19;2017;diciembre;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
792;Estructural 10-0;2018;enero;37;6;32;42;12;31;138;321;96;61;34;132;101;45;92;23;26;1192
793;Vehículos 10-1;2018;enero;37;10;5;23;5;7;38;224;34;23;13;37;20;12;12;1;6;470
794;Pastizales y/o Basura 10-2;2018;enero;37;13;26;34;40;91;734;1127;644;604;348;695;441;131;145;18;7;5098
795;Rescate de Emergencia 10-3;2018;enero;37;2;14;30;17;13;106;491;50;50;34;132;47;20;79;9;1;1095
796;Rescate Vehicular 10-4;2018;enero;37;10;23;78;35;36;290;501;152;142;96;201;120;51;115;23;8;1881
797;Haz-Mat 10-5;2018;enero;37;2;0;6;1;4;23;34;0;3;0;24;18;5;34;1;1;156
798;Gas 10-6;2018;enero;37;3;9;25;9;20;49;175;28;17;10;46;35;7;28;5;2;468
799;Eléctrico 10-7;2018;enero;37;1;1;8;7;3;22;99;19;13;12;8;9;5;5;0;0;212
800;No Clasificado 10-8;2018;enero;37;5;2;27;9;19;96;68;61;57;35;155;73;16;41;5;1;670
801;Otros Servicios 10-9;2018;enero;37;6;38;56;68;60;226;286;304;125;121;130;318;130;467;24;21;2380
802;Escombros 10-10;2018;enero;37;1;2;1;2;2;37;48;10;21;5;4;8;0;7;3;0;151
803;Servicio Aéreo 10-11;2018;enero;37;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;3
804;Apoyo a otros Cuerpos 10-12;2018;enero;37;0;1;3;3;2;82;368;64;31;8;29;39;4;8;4;0;646
805;Atentados Terroristas 10-13;2018;enero;37;1;0;0;0;0;0;1;0;0;0;2;0;1;0;0;0;5
806;Accidentes Aéreos 10-14;2018;enero;37;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;3
807;Simulacro 10-15;2018;enero;37;1;0;2;0;1;6;8;5;0;0;4;1;1;5;0;0;34
808;Túnel 10-16;2018;enero;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
809;Falsa Alarma 6-16;2018;enero;37;1;2;1;0;7;10;37;16;11;5;10;21;7;2;1;2;133
810;Inundación 10-17;2018;enero;37;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;6
811;Emergencia Marítima Portuaria 10-18;2018;enero;37;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;5
812;Incendio 10-30;2018;enero;37;2;3;6;0;0;4;28;0;2;0;0;3;0;11;0;0;59
813;Emergencia Metro de Santiago 10-19;2018;enero;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
814;Estructural 10-0;2018;febrero;38;11;26;33;8;39;89;273;53;48;47;146;99;31;111;12;23;1049
815;Vehículos 10-1;2018;febrero;38;4;8;11;5;13;41;183;16;27;11;29;20;6;18;1;4;397
816;Pastizales y/o Basura 10-2;2018;febrero;38;15;18;27;45;102;577;941;480;541;290;649;671;155;218;6;8;4743
817;Rescate de Emergencia 10-3;2018;febrero;38;3;9;25;9;28;102;452;62;48;31;107;33;35;76;7;1;1028
818;Rescate Vehicular 10-4;2018;febrero;38;8;31;75;41;62;223;515;130;157;92;193;135;83;129;19;7;1900
819;Haz-Mat 10-5;2018;febrero;38;0;2;5;0;1;20;19;5;3;2;19;5;10;32;1;0;124
820;Gas 10-6;2018;febrero;38;2;6;19;6;16;50;202;29;18;10;49;30;4;35;1;7;484
821;Eléctrico 10-7;2018;febrero;38;2;2;7;4;5;9;79;8;9;8;8;11;2;9;2;2;167
822;No Clasificado 10-8;2018;febrero;38;4;4;21;5;26;62;48;32;82;19;122;42;13;31;2;0;513
823;Otros Servicios 10-9;2018;febrero;38;3;28;50;40;37;226;195;260;109;82;102;240;91;447;6;13;1929
824;Escombros 10-10;2018;febrero;38;3;0;0;0;3;23;35;7;11;6;10;4;6;12;0;2;122
825;Servicio Aéreo 10-11;2018;febrero;38;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;4
826;Apoyo a otros Cuerpos 10-12;2018;febrero;38;0;5;1;7;17;66;268;66;31;23;35;67;4;5;0;0;595
827;Atentados Terroristas 10-13;2018;febrero;38;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2
828;Accidentes Aéreos 10-14;2018;febrero;38;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2
829;Simulacro 10-15;2018;febrero;38;2;0;0;0;1;7;4;2;1;1;1;2;3;5;0;0;29
830;Túnel 10-16;2018;febrero;38;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
831;Falsa Alarma 6-16;2018;febrero;38;1;1;0;3;5;12;20;12;8;3;13;22;5;8;2;3;118
832;Inundación 10-17;2018;febrero;38;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;4
833;Emergencia Marítima Portuaria 10-18;2018;febrero;38;0;0;10;0;0;0;0;0;0;0;1;0;0;0;0;0;11
834;Incendio 10-30;2018;febrero;38;2;2;3;0;0;2;32;1;4;0;1;1;0;14;0;0;62
835;Emergencia Metro de Santiago 10-19;2018;febrero;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
836;Estructural 10-0;2018;marzo;39;7;22;30;8;13;137;315;74;92;35;111;104;53;107;15;16;1139
837;Vehículos 10-1;2018;marzo;39;5;5;8;3;6;56;282;17;25;22;34;19;13;12;0;7;514
838;Pastizales y/o Basura 10-2;2018;marzo;39;13;25;25;35;47;627;903;480;464;332;328;360;82;110;7;10;3848
839;Rescate de Emergencia 10-3;2018;marzo;39;10;10;18;6;2;95;535;57;39;29;126;58;20;80;2;3;1090
840;Rescate Vehicular 10-4;2018;marzo;39;8;26;54;44;47;234;534;144;140;70;249;106;57;93;17;10;1833
841;Haz-Mat 10-5;2018;marzo;39;3;4;13;0;0;19;26;5;4;4;13;7;5;24;0;1;128
842;Gas 10-6;2018;marzo;39;1;6;21;15;9;78;218;36;32;7;71;38;11;52;3;6;604
843;Eléctrico 10-7;2018;marzo;39;1;0;7;5;2;6;116;11;13;4;22;13;6;7;1;0;214
844;No Clasificado 10-8;2018;marzo;39;8;1;21;3;23;44;54;40;72;32;175;27;21;19;8;2;550
845;Otros Servicios 10-9;2018;marzo;39;11;39;29;58;39;252;240;231;91;158;106;296;60;382;12;11;2015
846;Escombros 10-10;2018;marzo;39;0;2;1;2;2;24;32;13;10;7;2;12;1;10;0;3;121
847;Servicio Aéreo 10-11;2018;marzo;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
848;Apoyo a otros Cuerpos 10-12;2018;marzo;39;0;0;1;1;3;66;251;76;23;14;17;42;2;4;0;0;500
849;Atentados Terroristas 10-13;2018;marzo;39;1;0;1;0;0;0;0;0;1;0;0;0;2;0;0;0;5
850;Accidentes Aéreos 10-14;2018;marzo;39;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;4
851;Simulacro 10-15;2018;marzo;39;1;1;1;2;1;2;14;1;6;2;2;12;3;7;0;1;56
852;Túnel 10-16;2018;marzo;39;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
853;Falsa Alarma 6-16;2018;marzo;39;0;3;0;4;1;13;37;10;8;6;8;7;6;4;3;1;111
854;Inundación 10-17;2018;marzo;39;0;0;0;0;0;0;0;2;0;0;21;7;0;0;0;0;30
855;Emergencia Marítima Portuaria 10-18;2018;marzo;39;0;0;9;0;0;0;0;0;0;0;1;0;0;0;0;0;10
856;Incendio 10-30;2018;marzo;39;0;1;2;0;0;1;14;1;2;0;0;3;1;11;0;0;36
857;Emergencia Metro de Santiago 10-19;2018;marzo;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
858;Estructural 10-0;2018;abril;40;2;9;19;26;16;121;321;65;83;47;143;140;73;136;14;23;1238
859;Vehículos 10-1;2018;abril;40;1;2;9;8;5;28;197;11;12;17;17;16;10;14;0;1;348
860;Pastizales y/o Basura 10-2;2018;abril;40;20;15;14;30;57;407;751;338;222;80;119;93;15;64;9;4;2238
861;Rescate de Emergencia 10-3;2018;abril;40;5;4;12;9;5;104;555;54;43;25;101;35;19;52;2;6;1031
862;Rescate Vehicular 10-4;2018;abril;40;14;22;46;49;29;207;542;106;105;65;219;97;40;92;19;11;1663
863;Haz-Mat 10-5;2018;abril;40;3;1;8;3;1;37;38;3;2;0;21;13;11;24;0;0;165
864;Gas 10-6;2018;abril;40;7;7;24;17;20;82;347;48;37;17;132;39;8;53;10;15;863
865;Eléctrico 10-7;2018;abril;40;0;4;9;5;1;9;85;2;8;2;15;12;2;6;2;1;163
866;No Clasificado 10-8;2018;abril;40;8;2;18;4;9;51;35;31;56;26;165;38;13;23;7;3;489
867;Otros Servicios 10-9;2018;abril;40;9;49;65;44;35;277;248;239;80;139;105;312;65;420;14;13;2114
868;Escombros 10-10;2018;abril;40;0;0;9;0;1;16;15;12;3;0;4;5;4;12;0;0;81
869;Servicio Aéreo 10-11;2018;abril;40;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
870;Apoyo a otros Cuerpos 10-12;2018;abril;40;0;0;2;3;1;29;230;37;4;2;8;10;0;3;0;0;329
871;Atentados Terroristas 10-13;2018;abril;40;0;0;0;0;0;0;1;0;3;0;1;0;0;2;0;0;7
872;Accidentes Aéreos 10-14;2018;abril;40;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;2
873;Simulacro 10-15;2018;abril;40;3;3;3;3;2;7;17;3;14;5;12;16;8;10;0;1;107
874;Túnel 10-16;2018;abril;40;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2
875;Falsa Alarma 6-16;2018;abril;40;0;0;1;1;2;12;17;8;8;6;8;8;5;4;3;1;84
876;Inundación 10-17;2018;abril;40;0;0;0;0;0;0;0;1;0;0;10;6;2;0;0;1;20
877;Emergencia Marítima Portuaria 10-18;2018;abril;40;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;8
878;Incendio 10-30;2018;abril;40;0;0;2;0;0;5;20;1;0;0;0;0;0;5;0;0;33
879;Emergencia Metro de Santiago 10-19;2018;abril;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
880;Estructural 10-0;2018;mayo;41;7;7;30;22;18;139;350;102;109;43;190;152;75;156;33;17;1450
881;Vehículos 10-1;2018;mayo;41;5;0;15;11;11;35;250;18;22;5;25;18;6;22;1;2;446
882;Pastizales y/o Basura 10-2;2018;mayo;41;11;5;20;36;67;438;743;414;118;39;27;32;7;59;7;3;2026
883;Rescate de Emergencia 10-3;2018;mayo;41;4;2;15;8;9;84;544;69;43;28;131;45;15;54;2;2;1055
884;Rescate Vehicular 10-4;2018;mayo;41;11;21;60;53;41;204;454;99;98;71;252;100;39;117;11;12;1643
885;Haz-Mat 10-5;2018;mayo;41;2;0;11;3;1;43;51;8;4;1;21;16;7;32;0;1;201
886;Gas 10-6;2018;mayo;41;8;9;55;45;39;131;636;51;57;38;215;81;16;56;7;19;1463
887;Eléctrico 10-7;2018;mayo;41;1;2;8;6;7;25;246;24;5;5;12;7;6;5;0;2;361
888;No Clasificado 10-8;2018;mayo;41;4;0;24;3;14;62;54;51;87;37;166;30;13;20;4;2;571
889;Otros Servicios 10-9;2018;mayo;41;4;50;49;86;38;263;254;325;95;114;133;234;52;498;3;9;2207
890;Escombros 10-10;2018;mayo;41;3;0;3;4;1;10;15;7;4;0;7;5;2;6;2;0;69
891;Servicio Aéreo 10-11;2018;mayo;41;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2
892;Apoyo a otros Cuerpos 10-12;2018;mayo;41;0;0;0;0;4;29;256;64;6;2;9;12;0;4;0;0;386
893;Atentados Terroristas 10-13;2018;mayo;41;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
894;Accidentes Aéreos 10-14;2018;mayo;41;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
895;Simulacro 10-15;2018;mayo;41;2;3;10;3;6;12;15;4;9;4;12;44;8;14;3;3;152
896;Túnel 10-16;2018;mayo;41;0;0;0;1;0;0;1;0;0;0;2;0;0;0;0;0;4
897;Falsa Alarma 6-16;2018;mayo;41;0;0;0;3;0;12;31;19;4;4;6;5;2;6;1;0;93
898;Inundación 10-17;2018;mayo;41;0;0;0;0;0;0;0;4;5;3;40;1;0;0;0;0;53
899;Emergencia Marítima Portuaria 10-18;2018;mayo;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
900;Incendio 10-30;2018;mayo;41;0;0;2;0;0;3;33;0;0;0;0;0;0;10;0;0;48
901;Emergencia Metro de Santiago 10-19;2018;mayo;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
902;Estructural 10-0;2018;Junio;42;6;11;46;18;55;159;374;135;117;79;242;206;85;207;35;22;1797
903;Vehículos 10-1;2018;Junio;42;2;0;13;5;23;29;206;13;20;7;29;20;4;13;1;4;389
904;Pastizales y/o Basura 10-2;2018;Junio;42;9;21;33;34;113;201;320;94;22;9;17;9;4;53;7;3;949
905;Rescate de Emergencia 10-3;2018;Junio;42;5;10;13;3;13;94;546;79;43;31;148;64;25;83;3;2;1162
906;Rescate Vehicular 10-4;2018;Junio;42;16;26;50;40;101;220;440;126;133;67;218;110;35;85;12;7;1686
907;Haz-Mat 10-5;2018;Junio;42;1;3;9;4;7;46;55;11;1;3;19;20;3;28;0;0;210
908;Gas 10-6;2018;Junio;42;8;11;56;45;52;129;525;67;52;28;183;57;6;59;15;23;1316
909;Eléctrico 10-7;2018;Junio;42;4;3;4;6;12;21;251;28;9;8;22;12;5;6;0;1;392
910;No Clasificado 10-8;2018;Junio;42;1;5;22;10;8;73;96;72;75;27;179;65;14;29;3;8;687
911;Otros Servicios 10-9;2018;Junio;42;5;54;48;64;96;342;285;432;150;147;117;279;74;532;30;25;2680
912;Escombros 10-10;2018;Junio;42;1;0;1;1;1;7;11;6;4;0;7;3;1;23;1;0;67
913;Servicio Aéreo 10-11;2018;Junio;42;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
914;Apoyo a otros Cuerpos 10-12;2018;Junio;42;0;2;0;0;1;11;218;33;9;5;16;16;4;4;0;0;319
915;Atentados Terroristas 10-13;2018;Junio;42;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;4
916;Accidentes Aéreos 10-14;2018;Junio;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
917;Simulacro 10-15;2018;Junio;42;5;0;2;3;8;15;18;5;3;4;20;26;6;10;5;1;131
918;Túnel 10-16;2018;Junio;42;0;0;0;0;0;0;1;1;0;0;2;0;0;0;0;0;4
919;Falsa Alarma 6-16;2018;Junio;42;0;0;2;3;3;7;31;2;0;7;3;9;2;8;1;6;84
920;Inundación 10-17;2018;Junio;42;0;0;0;0;0;0;0;4;10;9;17;8;0;0;0;0;48
921;Emergencia Marítima Portuaria 10-18;2018;Junio;42;0;0;2;0;0;0;0;0;0;0;3;0;0;0;0;0;5
922;Incendio 10-30;2018;Junio;42;0;0;9;0;0;0;20;0;1;0;0;0;0;15;0;0;45
923;Emergencia Metro de Santiago 10-19;2018;Junio;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
924;Estructural 10-0;2018;Julio;43;3;10;29;23;30;143;370;111;129;62;206;245;75;224;39;19;1718
925;Vehículos 10-1;2018;Julio;43;1;2;18;3;8;41;195;12;27;11;14;22;7;9;1;8;379
926;Pastizales y/o Basura 10-2;2018;Julio;43;10;14;27;26;37;135;283;101;24;18;26;9;3;85;13;5;816
927;Rescate de Emergencia 10-3;2018;Julio;43;7;2;11;5;12;86;435;47;37;30;121;43;15;72;2;1;926
928;Rescate Vehicular 10-4;2018;Julio;43;17;20;57;43;53;220;433;118;115;78;190;126;38;94;16;17;1635
929;Haz-Mat 10-5;2018;Julio;43;1;0;5;5;1;48;35;16;2;4;26;25;2;19;1;0;190
930;Gas 10-6;2018;Julio;43;10;17;44;19;26;92;424;82;36;32;112;70;11;62;5;9;1051
931;Eléctrico 10-7;2018;Julio;43;3;0;8;2;4;24;206;24;9;4;18;6;2;16;0;2;328
932;No Clasificado 10-8;2018;Julio;43;5;5;21;4;15;79;86;67;56;35;189;87;16;18;5;5;693
933;Otros Servicios 10-9;2018;Julio;43;5;81;54;59;41;332;253;431;109;139;131;233;61;433;17;19;2398
934;Escombros 10-10;2018;Julio;43;1;0;2;0;2;6;7;1;4;0;5;12;5;9;1;1;56
935;Servicio Aéreo 10-11;2018;Julio;43;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
936;Apoyo a otros Cuerpos 10-12;2018;Julio;43;0;3;0;2;1;11;181;16;6;7;10;21;1;6;0;0;265
937;Atentados Terroristas 10-13;2018;Julio;43;0;0;0;0;0;0;0;0;2;0;0;1;0;1;0;0;4
938;Accidentes Aéreos 10-14;2018;Julio;43;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2
939;Simulacro 10-15;2018;Julio;43;3;1;1;0;1;10;7;6;1;1;7;15;3;15;0;2;73
940;Túnel 10-16;2018;Julio;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
941;Falsa Alarma 6-16;2018;Julio;43;1;1;3;3;5;9;19;5;2;3;7;3;1;4;1;3;70
942;Inundación 10-17;2018;Julio;43;0;0;0;0;0;0;0;3;0;2;31;1;0;0;0;0;37
943;Emergencia Marítima Portuaria 10-18;2018;Julio;43;0;0;5;0;0;0;0;0;0;0;3;0;0;0;0;0;8
944;Incendio 10-30;2018;Julio;43;1;1;5;0;0;0;22;0;1;0;1;2;0;23;0;0;56
945;Emergencia Metro de Santiago 10-19;2018;Julio;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
946;Estructural 10-0;2018;Agosto;44;6;6;32;23;26;135;322;115;128;68;172;171;82;191;39;27;1543
947;Vehículos 10-1;2018;Agosto;44;7;2;3;5;7;32;196;17;14;9;29;23;6;14;1;3;368
948;Pastizales y/o Basura 10-2;2018;Agosto;44;6;7;25;36;75;258;396;273;93;21;32;19;4;57;11;4;1317
949;Rescate de Emergencia 10-3;2018;Agosto;44;3;2;14;10;8;116;506;63;43;20;139;34;21;71;6;0;1056
950;Rescate Vehicular 10-4;2018;Agosto;44;22;16;44;28;36;191;403;103;124;55;196;89;53;83;19;9;1471
951;Haz-Mat 10-5;2018;Agosto;44;1;0;10;5;3;40;35;9;3;7;24;28;2;18;1;0;186
952;Gas 10-6;2018;Agosto;44;14;7;43;46;30;117;384;56;43;28;172;67;8;52;6;18;1091
953;Eléctrico 10-7;2018;Agosto;44;0;1;4;5;4;14;114;11;10;7;20;8;4;14;0;0;216
954;No Clasificado 10-8;2018;Agosto;44;6;2;23;4;15;38;76;40;59;29;128;40;32;25;3;2;522
955;Otros Servicios 10-9;2018;Agosto;44;4;51;41;60;32;314;206;281;103;126;163;306;97;496;7;17;2304
956;Escombros 10-10;2018;Agosto;44;0;0;4;0;3;12;20;1;3;0;3;3;1;3;0;0;53
957;Servicio Aéreo 10-11;2018;Agosto;44;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;4
958;Apoyo a otros Cuerpos 10-12;2018;Agosto;44;0;1;0;2;5;9;255;13;6;1;9;14;8;8;0;0;331
959;Atentados Terroristas 10-13;2018;Agosto;44;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
960;Accidentes Aéreos 10-14;2018;Agosto;44;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
961;Simulacro 10-15;2018;Agosto;44;3;1;3;2;4;14;18;10;5;1;7;19;6;17;3;1;114
962;Túnel 10-16;2018;Agosto;44;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2
963;Falsa Alarma 6-16;2018;Agosto;44;1;1;2;0;0;12;21;7;6;2;1;4;5;11;1;1;75
964;Inundación 10-17;2018;Agosto;44;0;0;0;0;0;0;0;1;2;0;4;0;0;1;0;0;8
965;Emergencia Marítima Portuaria 10-18;2018;Agosto;44;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
966;Incendio 10-30;2018;Agosto;44;0;0;3;0;0;0;34;0;1;0;1;3;0;10;0;0;52
967;Emergencia Metro de Santiago 10-19;2018;Agosto;44;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
968;Estructural 10-0;2018;septiembre;45;10;2;27;30;29;130;281;98;79;64;163;158;61;172;17;19;1340
969;Vehículos 10-1;2018;septiembre;45;1;2;5;16;8;26;156;19;13;12;30;14;7;23;3;1;336
970;Pastizales y/o Basura 10-2;2018;septiembre;45;14;4;50;48;101;248;434;282;108;66;96;63;14;46;8;2;1584
971;Rescate de Emergencia 10-3;2018;septiembre;45;6;9;17;6;12;81;461;81;50;26;119;27;22;45;0;3;965
972;Rescate Vehicular 10-4;2018;septiembre;45;23;19;45;36;44;171;410;138;116;62;190;100;32;84;13;13;1496
973;Haz-Mat 10-5;2018;septiembre;45;1;1;14;0;0;30;18;11;4;2;27;24;2;27;0;0;161
974;Gas 10-6;2018;septiembre;45;12;5;50;19;23;104;268;41;35;24;95;50;7;57;10;9;809
975;Eléctrico 10-7;2018;septiembre;45;1;1;3;6;8;19;102;19;8;4;11;10;2;13;2;0;209
976;No Clasificado 10-8;2018;septiembre;45;1;0;21;6;23;38;46;39;30;12;145;54;11;26;4;4;460
977;Otros Servicios 10-9;2018;septiembre;45;4;54;49;55;13;296;246;386;129;111;131;316;67;476;4;20;2357
978;Escombros 10-10;2018;septiembre;45;0;0;2;2;3;9;26;1;1;0;7;4;0;10;0;0;65
979;Servicio Aéreo 10-11;2018;septiembre;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
980;Apoyo a otros Cuerpos 10-12;2018;septiembre;45;0;0;0;1;3;16;165;27;4;0;8;11;5;5;0;0;245
981;Atentados Terroristas 10-13;2018;septiembre;45;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2
982;Accidentes Aéreos 10-14;2018;septiembre;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
983;Simulacro 10-15;2018;septiembre;45;4;0;4;2;2;5;11;7;5;1;7;17;8;19;4;5;101
984;Túnel 10-16;2018;septiembre;45;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;2
985;Falsa Alarma 6-16;2018;septiembre;45;2;0;3;0;5;19;27;8;3;3;5;6;0;7;3;3;94
986;Inundación 10-17;2018;septiembre;45;0;0;0;0;0;0;0;2;1;2;5;3;0;0;0;0;13
987;Emergencia Marítima Portuaria 10-18;2018;septiembre;45;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
988;Incendio 10-30;2018;septiembre;45;0;0;6;0;0;2;34;0;0;0;0;1;4;15;0;0;62
989;Emergencia Metro de Santiago 10-19;2018;septiembre;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
990;Estructural 10-0;2018;octubre;46;3;11;42;17;38;139;302;82;77;49;155;126;65;141;25;24;1296
991;Vehículos 10-1;2018;octubre;46;6;1;7;6;23;38;201;19;19;9;21;26;10;20;5;5;416
992;Pastizales y/o Basura 10-2;2018;octubre;46;14;6;60;35;112;254;538;189;80;37;90;74;15;56;6;13;1579
993;Rescate de Emergencia 10-3;2018;octubre;46;14;8;17;6;16;107;542;84;40;27;127;38;13;58;4;2;1103
994;Rescate Vehicular 10-4;2018;octubre;46;40;15;49;36;45;215;476;137;113;51;166;70;30;56;17;13;1529
995;Haz-Mat 10-5;2018;octubre;46;3;0;9;1;0;26;29;6;2;2;14;19;6;15;1;0;133
996;Gas 10-6;2018;octubre;46;12;3;23;18;28;60;249;44;24;23;103;47;10;51;5;11;711
997;Eléctrico 10-7;2018;octubre;46;1;1;5;0;3;17;71;13;4;3;12;6;2;4;2;2;146
998;No Clasificado 10-8;2018;octubre;46;3;4;12;2;13;34;60;46;50;19;140;47;10;27;5;3;475
999;Otros Servicios 10-9;2018;octubre;46;3;46;84;53;24;308;237;298;99;133;139;244;55;523;12;27;2285
1000;Escombros 10-10;2018;octubre;46;0;0;1;2;3;15;12;7;3;3;7;4;0;7;0;3;67
1001;Servicio Aéreo 10-11;2018;octubre;46;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
1002;Apoyo a otros Cuerpos 10-12;2018;octubre;46;0;0;1;0;2;15;204;11;6;0;21;21;5;7;0;0;293
1003;Atentados Terroristas 10-13;2018;octubre;46;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;3
1004;Accidentes Aéreos 10-14;2018;octubre;46;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2
1005;Simulacro 10-15;2018;octubre;46;8;1;9;2;3;10;32;16;17;4;24;23;8;44;7;2;210
1006;Túnel 10-16;2018;octubre;46;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2
